09-11-2020 16:10:35 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-40.html HTTP/1.1" 200 None
09-11-2020 16:10:35 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:35 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-41.html HTTP/1.1" 200 None
09-11-2020 16:10:35 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:36 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-42.html HTTP/1.1" 200 None
09-11-2020 16:10:36 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:36 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-43.html HTTP/1.1" 200 None
09-11-2020 16:10:36 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:36 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-44.html HTTP/1.1" 200 None
09-11-2020 16:10:37 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:37 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-45.html HTTP/1.1" 200 None
09-11-2020 16:10:37 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:37 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-46.html HTTP/1.1" 200 None
09-11-2020 16:10:37 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:37 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-47.html HTTP/1.1" 200 None
09-11-2020 16:10:38 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:38 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-48.html HTTP/1.1" 200 None
09-11-2020 16:10:38 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:38 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-49.html HTTP/1.1" 200 None
09-11-2020 16:10:38 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:38 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-50.html HTTP/1.1" 200 None
